web-scraper-order,web-scraper-start-url,Name,Rating,Comment
1608744211-55,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,A Gupta,5,5.0 Rated Apple iPhone 12 as Excellent.
1608744211-67,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,Alex Howard,1,Rated Apple iPhone 12 as Poor
1608744211-68,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,amitabh shekhar,5,Rated Apple iPhone 12 as Excellent
1608745711-95,https://indianexpress.com/article/technology/tech-reviews/apple-iphone-12-review-6989047/,Anuj Bhatia,5,"If you are looking to upgrade your existing phone and have a spare Rs 79,900 for a new smartphone, I won’t stop you from buying the iPhone 12. You are getting a 6.1-inch OLED screen, the classic design of iPhone 4, super-fast A14 Bionic chipset, capable cameras, all-screen front, Face ID and long battery. What else you want in a phone?"
1608744211-56,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,Arjun Prabhu,null,They are charging a high price and not even providing a charging adapter & earphones. Better to buy older models !
1608744211-89,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,Athem Simpson,5,Rated Apple iPhone 12 as Excellent
1608744211-91,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-userreviews,Brendan Toscano,5,the guy commenting above is a big fool. He should do his researh before commenting. First of all this are the specs of the current iphone 11 series . This isnt the new one .
1609384598-45,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Abhi  Kadakol,5,Amazing ❤️
1609384598-80,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Abhishek tiwari,1,Face id not proper  working Bluetooth fully not working  after 20days date of purchasing
1609384598-68,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Advait,5,"All I phone models are premium phones, coming to 12 price is to costly, but the quality is awesome.Camera, display,  processor and look of the body is premium.One think I don   t like is, phone is not coming with adapter and the headphonesOver rating for this iPhone 12"
1609384598-25,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Ajay  Malik,5,"Awesome.. this is my first switch to an IOS Device after using an adroid device untill now. And i am happy. The built quality, display, performance and responsive touch are just excellent. The camera is just way too good. Especially the night mode impressed me a lot. The phone is simple Amazing."
1609384598-120,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Akhil Gautam,5,Amazing looks.
1609384598-135,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Akshay Jadhav,5,"Perfect phone in every aspect, look and feels premium !!"
1609384598-157,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Alap Anerao,5,Amazing phone!! Worth it!
1609384598-56,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,Alok Tiwari,5,It's off white . Premium colour more beautiful then blue or black I phone 12. Best phone of 2020-21 Better then I phone 12 pro which cost 40k more . Premium smart phone
1609384598-111,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By AM,",5,"Amazing iPhone, worthy updatehave to buy a type-c supported charging adaptor for charginggood displaydecent battery lifenice night clicksoverall worthy upgrade from classic iPhonebuy apple original 20w adaptor for charging, it fill battery faster than any other adaptor"
1609384598-98,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Aman,",5,Great phone. The battery improves after a few cycles
1609384598-75,https://www.91mobiles.com/Apple-iPhone+12-viewReview.html,"By Amazon Customer,",5,Awesome battery life and camera was too good specially portrait mode is awesome.A14 bionic chip is awesome     i love it
